"","X","definitivo","Month","Casos","Total_muestras","brotes"
"1",1,"caso",2014-06-01,3,34,1
"2",2,"caso",2014-08-01,3,9,1
"3",3,"caso",2014-09-01,33,36,6
"4",4,"caso",2014-10-01,17,29,7
"5",5,"caso",2014-11-01,31,37,7
"6",6,"caso",2014-12-01,3,7,2
"7",7,"caso",2015-01-01,4,4,1
"8",8,"caso",2015-02-01,14,18,4
"9",9,"caso",2015-03-01,5,15,3
"10",10,"caso",2015-04-01,10,22,6
"11",11,"caso",2015-05-01,49,91,12
"12",12,"caso",2015-06-01,42,59,8
"13",13,"caso",2015-07-01,21,31,7
"14",14,"caso",2015-08-01,28,38,8
"15",15,"caso",2015-09-01,42,62,12
"16",16,"caso",2015-10-01,34,65,14
"17",17,"caso",2015-11-01,15,38,6
"18",18,"caso",2015-12-01,3,7,3
"19",19,"caso",2016-01-01,5,14,2
"20",20,"caso",2016-02-01,4,5,2
"21",21,"caso",2016-03-01,15,24,2
"22",22,"caso",2016-04-01,1,3,1
"23",23,"caso",2016-05-01,10,41,2
"24",24,"caso",2016-06-01,13,36,7
"25",25,"caso",2016-08-01,1,1,1
"26",26,"caso",2016-09-01,4,20,3
"27",27,"caso",2016-10-01,54,92,9
"28",28,"caso",2016-12-01,18,31,1
"29",29,"caso",2017-01-01,35,69,5
"30",30,"caso",2017-02-01,13,15,2
"31",31,"caso",2017-03-01,6,18,3
"32",32,"caso",2017-04-01,5,37,3
"33",33,"caso",2017-05-01,9,78,4
"34",34,"caso",2017-06-01,14,75,5
"35",35,"caso",2017-07-01,8,15,3
"36",36,"caso",2017-08-01,11,26,2
"37",37,"caso",2017-09-01,8,17,1
"38",38,"caso",2017-10-01,20,131,5
"39",39,"caso",2017-11-01,19,58,5
"40",40,"caso",2017-12-01,1,8,1
"41",41,"caso",2018-01-01,41,150,10
"42",42,"caso",2018-02-01,3,42,2
"43",43,"caso",2018-03-01,33,88,8
"44",44,"caso",2018-04-01,18,36,6
"45",45,"caso",2018-05-01,14,47,7
"46",46,"caso",2018-06-01,22,75,5
"47",47,"caso",2018-07-01,16,58,6
"48",48,"caso",2018-08-01,44,202,6
"49",49,"caso",2018-09-01,9,13,4
"50",50,"caso",2018-10-01,4,7,3
"51",51,"caso",2018-12-01,11,45,3
"52",52,"caso",2019-01-01,9,9,2
"53",53,"caso",2019-02-01,11,27,5
"54",54,"caso",2019-03-01,8,52,2
"55",55,"caso",2019-04-01,5,36,2
"56",56,"caso",2019-05-01,4,17,2
"57",57,"caso",2019-06-01,15,40,3
"58",58,"caso",2019-07-01,1,1,1
"59",59,"caso",2019-08-01,30,77,6
"60",60,"caso",2019-09-01,11,32,5
"61",61,"caso",2019-10-01,2,24,1
"62",62,"caso",2019-11-01,7,15,1
"63",63,"caso",2019-12-01,26,73,4
"64",64,"caso",2020-01-01,2,12,2
"65",65,"caso",2020-02-01,9,9,2
"66",66,"caso",2020-05-01,1,12,1
"67",67,"caso",2020-06-01,7,21,1
"68",68,"caso",2020-07-01,7,67,2
"69",69,"caso",2020-08-01,9,16,2
"70",70,"caso",2020-09-01,5,6,2
"71",71,"caso",2020-10-01,11,79,5
"72",72,"caso",2020-11-01,6,10,3
"73",73,"caso",2020-12-01,1,16,1
"74",74,"caso",2021-01-01,1,18,1
"75",75,"caso",2021-02-01,21,37,3
"76",76,"caso",2021-03-01,5,12,2
"77",77,"caso",2021-05-01,2,2,1
"78",78,"caso",2021-06-01,2,3,1
"79",79,"caso",2021-07-01,17,31,3
"80",80,"caso",2022-03-01,7,104,1
"81",81,"caso",2022-04-01,6,29,1
"82",82,"caso",2022-07-01,4,10,1
"83",83,"caso",2022-09-01,5,18,2
"84",84,"caso",2022-10-01,26,53,7
"85",85,"caso",2022-12-01,13,26,4
"86",86,"caso",2023-01-01,11,12,4
"87",87,"caso",2023-02-01,5,24,1
"88",88,"notifi",2014-09-01,0,4,NA
"89",89,"notifi",2014-10-01,0,11,NA
"90",90,"notifi",2014-11-01,0,12,NA
"91",91,"notifi",2014-12-01,0,20,NA
"92",92,"notifi",2015-01-01,0,47,NA
"93",93,"notifi",2015-02-01,0,20,NA
"94",94,"notifi",2015-03-01,0,49,NA
"95",95,"notifi",2015-04-01,0,67,NA
"96",96,"notifi",2015-05-01,0,165,NA
"97",97,"notifi",2015-06-01,0,51,NA
"98",98,"notifi",2015-07-01,0,80,NA
"99",99,"notifi",2015-08-01,0,36,NA
"100",100,"notifi",2015-09-01,0,240,NA
"101",101,"notifi",2015-10-01,0,185,NA
"102",102,"notifi",2015-11-01,0,157,NA
"103",103,"notifi",2015-12-01,0,14,NA
"104",104,"notifi",2016-01-01,0,56,NA
"105",105,"notifi",2016-02-01,0,64,NA
"106",106,"notifi",2016-03-01,0,20,NA
"107",107,"notifi",2016-04-01,0,8,NA
"108",108,"notifi",2016-05-01,0,57,NA
"109",109,"notifi",2016-06-01,0,68,NA
"110",110,"notifi",2016-07-01,0,26,NA
"111",111,"notifi",2016-08-01,0,85,NA
"112",112,"notifi",2016-09-01,0,26,NA
"113",113,"notifi",2016-10-01,0,86,NA
"114",114,"notifi",2016-11-01,0,26,NA
"115",115,"notifi",2016-12-01,0,46,NA
"116",116,"notifi",2017-01-01,0,49,NA
"117",117,"notifi",2017-02-01,0,51,NA
"118",118,"notifi",2017-03-01,0,52,NA
"119",119,"notifi",2017-04-01,0,54,NA
"120",120,"notifi",2017-05-01,0,54,NA
"121",121,"notifi",2017-06-01,0,21,NA
"122",122,"notifi",2017-07-01,0,33,NA
"123",123,"notifi",2017-08-01,0,57,NA
"124",124,"notifi",2017-09-01,0,17,NA
"125",125,"notifi",2017-10-01,0,22,NA
"126",126,"notifi",2017-11-01,0,11,NA
"127",127,"notifi",2017-12-01,0,32,NA
"128",128,"notifi",2018-01-01,0,56,NA
"129",129,"notifi",2018-02-01,0,26,NA
"130",130,"notifi",2018-03-01,0,21,NA
"131",131,"notifi",2018-04-01,0,64,NA
"132",132,"notifi",2018-05-01,0,44,NA
"133",133,"notifi",2018-06-01,0,56,NA
"134",134,"notifi",2018-07-01,0,16,NA
"135",135,"notifi",2018-08-01,0,29,NA
"136",136,"notifi",2018-09-01,0,46,NA
"137",137,"notifi",2018-10-01,0,51,NA
"138",138,"notifi",2018-11-01,0,25,NA
"139",139,"notifi",2018-12-01,0,9,NA
"140",140,"notifi",2019-01-01,0,23,NA
"141",141,"notifi",2019-02-01,0,43,NA
"142",142,"notifi",2019-03-01,0,28,NA
"143",143,"notifi",2019-04-01,0,108,NA
"144",144,"notifi",2019-05-01,0,59,NA
"145",145,"notifi",2019-06-01,0,24,NA
"146",146,"notifi",2019-07-01,0,56,NA
"147",147,"notifi",2019-08-01,0,42,NA
"148",148,"notifi",2019-09-01,0,30,NA
"149",149,"notifi",2019-10-01,0,38,NA
"150",150,"notifi",2019-11-01,0,65,NA
"151",151,"notifi",2019-12-01,0,32,NA
"152",152,"notifi",2020-01-01,0,38,NA
"153",153,"notifi",2020-02-01,0,37,NA
"154",154,"notifi",2020-03-01,0,15,NA
"155",155,"notifi",2020-05-01,0,9,NA
"156",156,"notifi",2020-06-01,0,22,NA
"157",157,"notifi",2020-07-01,0,40,NA
"158",158,"notifi",2020-08-01,0,52,NA
"159",159,"notifi",2020-09-01,0,67,NA
"160",160,"notifi",2020-10-01,0,7,NA
"161",161,"notifi",2020-11-01,0,30,NA
"162",162,"notifi",2020-12-01,0,60,NA
"163",163,"notifi",2021-01-01,0,64,NA
"164",164,"notifi",2021-02-01,0,23,NA
"165",165,"notifi",2021-03-01,0,84,NA
"166",166,"notifi",2021-04-01,0,92,NA
"167",167,"notifi",2021-05-01,0,74,NA
"168",168,"notifi",2021-06-01,0,83,NA
"169",169,"notifi",2021-07-01,0,36,NA
"170",170,"notifi",2021-08-01,0,53,NA
"171",171,"notifi",2021-09-01,0,140,NA
"172",172,"notifi",2021-10-01,0,28,NA
"173",173,"notifi",2022-02-01,0,48,NA
"174",174,"notifi",2022-04-01,0,34,NA
"175",175,"notifi",2022-05-01,0,40,NA
"176",176,"notifi",2022-06-01,0,8,NA
"177",177,"notifi",2022-07-01,0,26,NA
"178",178,"notifi",2022-08-01,0,29,NA
"179",179,"notifi",2022-09-01,0,71,NA
"180",180,"notifi",2022-10-01,0,36,NA
"181",181,"notifi",2022-11-01,0,33,NA
"182",182,"notifi",2022-12-01,0,31,NA
"183",183,"notifi",2023-01-01,0,29,NA
"184",184,"notifi",2023-02-01,0,32,NA
"185",185,"notifi",2023-03-01,0,1,NA
